Region,date,commodity,price
ACEH,2016-07-15,Chili (bird's eye),27908.726666666666
ACEH,2016-07-15,"Chili (bird's eye, green)",30821.425
ACEH,2016-07-15,"Chili (bird's eye, red)",22083.33
ACEH,2016-07-15,Chili (red),30278.77
ACEH,2016-07-15,"Chili (red, curly)",29866.07
ACEH,2016-07-15,"Chili (red, large)",31458.33
ACEH,2016-07-15,Eggs,24196.823333333334
ACEH,2016-07-15,Eggs (broiler),23084.523333333334
ACEH,2016-07-15,Garlic,18267.8575
ACEH,2016-07-15,Garlic (medium),18267.8575
ACEH,2016-07-15,Meat (beef),126701.39
ACEH,2016-07-15,"Meat (beef, first quality)",135104.16499999998
ACEH,2016-07-15,"Meat (beef, second quality)",100000.0
ACEH,2016-07-15,Meat (chicken),31902.53
ACEH,2016-07-15,"Meat (chicken, broiler)",31902.53
ACEH,2016-07-15,Oil (vegetable),13303.769999999999
ACEH,2016-07-15,"Oil (vegetable, bulk)",11473.215
ACEH,2016-07-15,"Oil (vegetable, packaged)",14271.33
ACEH,2016-07-15,Onions (shallot),36089.285
ACEH,2016-07-15,"Onions (shallot, medium)",35119.04666666667
ACEH,2016-07-15,Rice,9311.905
ACEH,2016-07-15,Rice (high quality),9925.496666666666
ACEH,2016-07-15,Rice (low quality),8537.35
ACEH,2016-07-15,Rice (medium quality),9369.446666666667
ACEH,2016-07-15,Sugar,18840.079999999998
ACEH,2016-07-15,Sugar (local),18128.966666666667
ACEH,2016-07-15,Sugar (premium),19651.785
ACEH,2016-08-15,Chili (bird's eye),35495.256
ACEH,2016-08-15,"Chili (bird's eye, green)",37412.71333333333
ACEH,2016-08-15,"Chili (bird's eye, red)",31612.905
ACEH,2016-08-15,Chili (red),31682.986666666664
ACEH,2016-08-15,"Chili (red, curly)",30767.3125
ACEH,2016-08-15,"Chili (red, large)",32911.29
ACEH,2016-08-15,Eggs,23989.940000000002
ACEH,2016-08-15,Eggs (broiler),23605.058333333334
ACEH,2016-08-15,Garlic,21620.968
ACEH,2016-08-15,Garlic (medium),21185.674
ACEH,2016-08-15,Meat (beef),126950.34666666668
ACEH,2016-08-15,"Meat (beef, first quality)",134501.706
ACEH,2016-08-15,"Meat (beef, second quality)",110000.0
ACEH,2016-08-15,Meat (chicken),31126.343333333334
ACEH,2016-08-15,"Meat (chicken, broiler)",29792.93
ACEH,2016-08-15,Oil (vegetable),13763.976666666667
ACEH,2016-08-15,"Oil (vegetable, bulk)",11471.0625
ACEH,2016-08-15,"Oil (vegetable, packaged)",14801.628333333334
ACEH,2016-08-15,Onions (shallot),36104.174
ACEH,2016-08-15,"Onions (shallot, medium)",35817.995
ACEH,2016-08-15,Rice,9519.986666666666
ACEH,2016-08-15,Rice (high quality),10192.05
ACEH,2016-08-15,Rice (low quality),8738.03
ACEH,2016-08-15,Rice (medium quality),9697.731666666667
ACEH,2016-08-15,Sugar,17565.048
ACEH,2016-08-15,Sugar (local),16500.19
ACEH,2016-08-15,Sugar (premium),18600.726666666666
ACEH,2016-09-15,Chili (bird's eye),46204.02166666667
ACEH,2016-09-15,"Chili (bird's eye, green)",45158.62
ACEH,2016-09-15,"Chili (bird's eye, red)",44267.244999999995
ACEH,2016-09-15,Chili (red),55398.274
ACEH,2016-09-15,"Chili (red, curly)",56237.067500000005
ACEH,2016-09-15,"Chili (red, large)",55189.655
ACEH,2016-09-15,Eggs,22043.103333333333
ACEH,2016-09-15,Eggs (broiler),23336.072
ACEH,2016-09-15,Garlic,18112.07
ACEH,2016-09-15,Garlic (medium),21151.724
ACEH,2016-09-15,Meat (beef),127586.20666666667
ACEH,2016-09-15,"Meat (beef, first quality)",137241.38
ACEH,2016-09-15,"Meat (beef, second quality)",115000.0
ACEH,2016-09-15,Meat (chicken),27021.55
ACEH,2016-09-15,"Meat (chicken, broiler)",27263.791999999998
ACEH,2016-09-15,Oil (vegetable),13874.484
ACEH,2016-09-15,"Oil (vegetable, bulk)",12271.550000000001
ACEH,2016-09-15,"Oil (vegetable, packaged)",14876.435
ACEH,2016-09-15,Onions (shallot),35612.07
ACEH,2016-09-15,"Onions (shallot, medium)",35612.07
ACEH,2016-09-15,Rice,9949.723333333333
ACEH,2016-09-15,Rice (high quality),10384.4825
ACEH,2016-09-15,Rice (low quality),9013.36
ACEH,2016-09-15,Rice (medium quality),10417.93
ACEH,2016-09-15,Sugar,15731.378
ACEH,2016-09-15,Sugar (local),14007.141999999998
ACEH,2016-09-15,Sugar (premium),18620.690000000002
ACEH,2016-10-15,Chili (bird's eye),39162.5
ACEH,2016-10-15,"Chili (bird's eye, green)",39012.5
ACEH,2016-10-15,"Chili (bird's eye, red)",36200.0
ACEH,2016-10-15,Chili (red),74608.0
ACEH,2016-10-15,"Chili (red, curly)",71450.0
ACEH,2016-10-15,"Chili (red, large)",70062.5
ACEH,2016-10-15,Eggs,21346.666666666668
ACEH,2016-10-15,Eggs (broiler),20179.0
ACEH,2016-10-15,Garlic,28524.0
ACEH,2016-10-15,Garlic (medium),28519.0
ACEH,2016-10-15,Meat (beef),125300.0
ACEH,2016-10-15,"Meat (beef, first quality)",132600.0
ACEH,2016-10-15,"Meat (beef, second quality)",111166.66666666667
ACEH,2016-10-15,Meat (chicken),26950.0
ACEH,2016-10-15,"Meat (chicken, broiler)",27630.0
ACEH,2016-10-15,Oil (vegetable),13682.5
ACEH,2016-10-15,"Oil (vegetable, bulk)",11875.0
ACEH,2016-10-15,"Oil (vegetable, packaged)",14835.0
ACEH,2016-10-15,Onions (shallot),33780.0
ACEH,2016-10-15,"Onions (shallot, medium)",33020.0
ACEH,2016-10-15,Rice,9936.111666666666
ACEH,2016-10-15,Rice (high quality),10495.0
ACEH,2016-10-15,Rice (low quality),9143.125
ACEH,2016-10-15,Rice (medium quality),9934.0
ACEH,2016-10-15,Sugar,15399.0
ACEH,2016-10-15,Sugar (local),13487.5
ACEH,2016-10-15,Sugar (premium),17015.0
ACEH,2016-11-15,Chili (bird's eye),54549.998
ACEH,2016-11-15,"Chili (bird's eye, green)",54949.998
ACEH,2016-11-15,"Chili (bird's eye, red)",54583.33
ACEH,2016-11-15,Chili (red),85813.888
ACEH,2016-11-15,"Chili (red, curly)",82611.11166666666
ACEH,2016-11-15,"Chili (red, large)",86527.78
ACEH,2016-11-15,Eggs,20093.334
ACEH,2016-11-15,Eggs (broiler),20063.334
ACEH,2016-11-15,Garlic,18875.0
ACEH,2016-11-15,Garlic (medium),24138.888333333336
ACEH,2016-11-15,Meat (beef),126481.48333333334
ACEH,2016-11-15,"Meat (beef, first quality)",131851.85333333333
ACEH,2016-11-15,"Meat (beef, second quality)",111666.66666666667
ACEH,2016-11-15,Meat (chicken),27781.25
ACEH,2016-11-15,"Meat (chicken, broiler)",28336.112
ACEH,2016-11-15,Oil (vegetable),13796.758333333333
ACEH,2016-11-15,"Oil (vegetable, bulk)",12233.333999999999
ACEH,2016-11-15,"Oil (vegetable, packaged)",14786.112
ACEH,2016-11-15,Onions (shallot),33555.555
ACEH,2016-11-15,"Onions (shallot, medium)",33555.555
ACEH,2016-11-15,Rice,10001.851666666667
ACEH,2016-11-15,Rice (high quality),10484.7225
ACEH,2016-11-15,Rice (low quality),9444.446
ACEH,2016-11-15,Rice (medium quality),10136.666000000001
ACEH,2016-11-15,Sugar,15634.26
ACEH,2016-11-15,Sugar (local),13513.8875
ACEH,2016-11-15,Sugar (premium),16761.11
ACEH,2016-12-15,Chili (bird's eye),61402.299999999996
ACEH,2016-12-15,"Chili (bird's eye, green)",61402.299999999996
ACEH,2016-12-15,"Chili (bird's eye, red)",57464.285
ACEH,2016-12-15,Chili (red),67196.12
ACEH,2016-12-15,"Chili (red, curly)",64788.78999999999
ACEH,2016-12-15,"Chili (red, large)",71025.86499999999
ACEH,2016-12-15,Eggs,21541.38
ACEH,2016-12-15,Eggs (broiler),21029.88666666667
ACEH,2016-12-15,Garlic,19170.69
ACEH,2016-12-15,Garlic (medium),24558.045
ACEH,2016-12-15,Meat (beef),125237.07
ACEH,2016-12-15,"Meat (beef, first quality)",133396.552
ACEH,2016-12-15,"Meat (beef, second quality)",111666.66666666667
ACEH,2016-12-15,Meat (chicken),26697.586
ACEH,2016-12-15,"Meat (chicken, broiler)",26417.239999999998
ACEH,2016-12-15,Oil (vegetable),13796.55
ACEH,2016-12-15,"Oil (vegetable, bulk)",11820.689999999999
ACEH,2016-12-15,"Oil (vegetable, packaged)",14694.828
ACEH,2016-12-15,Onions (shallot),36991.380000000005
ACEH,2016-12-15,"Onions (shallot, medium)",37373.56333333333
ACEH,2016-12-15,Rice,10114.368333333334
ACEH,2016-12-15,Rice (high quality),10378.446666666667
ACEH,2016-12-15,Rice (low quality),9631.895999999999
ACEH,2016-12-15,Rice (medium quality),10087.586
ACEH,2016-12-15,Sugar,15094.482
ACEH,2016-12-15,Sugar (local),13316.380000000001
ACEH,2016-12-15,Sugar (premium),16837.643333333333
ACEH,2017-03-15,Chili (bird's eye),32310.485
ACEH,2017-03-15,"Chili (bird's eye, green)",31905.914999999997
ACEH,2017-03-15,"Chili (bird's eye, red)",26016.13
ACEH,2017-03-15,Chili (red),24397.18
ACEH,2017-03-15,"Chili (red, curly)",25393.548
ACEH,2017-03-15,"Chili (red, large)",20715.053333333333
ACEH,2017-03-15,Eggs,20738.708000000002
ACEH,2017-03-15,Eggs (broiler),19831.0475
ACEH,2017-03-15,Garlic,22529.030000000002
ACEH,2017-03-15,Garlic (medium),27721.7725
ACEH,2017-03-15,Meat (beef),126068.5475
ACEH,2017-03-15,"Meat (beef, first quality)",132318.5475
ACEH,2017-03-15,"Meat (beef, second quality)",111666.66666666667
ACEH,2017-03-15,Meat (chicken),27395.1625
ACEH,2017-03-15,"Meat (chicken, broiler)",26416.668333333335
ACEH,2017-03-15,Oil (vegetable),14129.032500000001
ACEH,2017-03-15,"Oil (vegetable, bulk)",12463.71
ACEH,2017-03-15,"Oil (vegetable, packaged)",15360.484
ACEH,2017-03-15,Onions (shallot),29946.236666666664
ACEH,2017-03-15,"Onions (shallot, medium)",30750.0
ACEH,2017-03-15,Rice,10618.386
ACEH,2017-03-15,Rice (high quality),10969.756666666668
ACEH,2017-03-15,Rice (low quality),10021.773333333333
ACEH,2017-03-15,Rice (medium quality),10551.074999999999
ACEH,2017-03-15,Sugar,14701.614000000001
ACEH,2017-03-15,Sugar (local),13170.967999999999
ACEH,2017-03-15,Sugar (premium),16279.57
ACEH,2020-01-15,Chili (bird's eye),38831.666000000005
ACEH,2020-01-15,"Chili (bird's eye, green)",37720.832500000004
ACEH,2020-01-15,"Chili (bird's eye, red)",44400.0
ACEH,2020-01-15,Chili (red),30155.556666666667
ACEH,2020-01-15,"Chili (red, curly)",29491.67
ACEH,2020-01-15,"Chili (red, large)",28000.0
ACEH,2020-01-15,Eggs,24917.22333333333
ACEH,2020-01-15,Eggs (broiler),25139.0
ACEH,2020-01-15,Garlic,31663.332000000002
ACEH,2020-01-15,Garlic (medium),31566.665
ACEH,2020-01-15,Meat (beef),127819.44333333334
ACEH,2020-01-15,"Meat (beef, first quality)",135000.0
ACEH,2020-01-15,"Meat (beef, second quality)",115958.33499999999
ACEH,2020-01-15,Meat (chicken),27826.666000000005
ACEH,2020-01-15,"Meat (chicken, broiler)",26177.77666666667
ACEH,2020-01-15,Oil (vegetable),13898.0
ACEH,2020-01-15,"Oil (vegetable, bulk)",12409.723333333333
ACEH,2020-01-15,"Oil (vegetable, packaged)",14714.5825
ACEH,2020-01-15,Onions (shallot),42775.0
ACEH,2020-01-15,"Onions (shallot, medium)",42480.556666666664
ACEH,2020-01-15,Rice,10331.943333333335
ACEH,2020-01-15,Rice (high quality),11001.528333333334
ACEH,2020-01-15,Rice (low quality),9776.111666666666
ACEH,2020-01-15,Rice (medium quality),10123.0
ACEH,2020-01-15,Sugar,14771.0
ACEH,2020-01-15,Sugar (local),13611.666000000001
ACEH,2020-01-15,Sugar (premium),15746.666000000001
ACEH,2020-02-15,Chili (bird's eye),36756.465
ACEH,2020-02-15,"Chili (bird's eye, green)",36800.28833333333
ACEH,2020-02-15,Chili (red),35795.415
ACEH,2020-02-15,"Chili (red, curly)",36823.2775
ACEH,2020-02-15,Eggs,24022.413333333334
ACEH,2020-02-15,Eggs (broiler),24394.482
